cdata,,cps,,I_cpO,,U_infty_x,U_infty_y,U_infty_z
0.000789727658900015,,0.000789727658900015,,12363,,0,1,0
0.000790978451512103,,0.000790978451512103,,12364,,0,1,0
0.000789727658900015,,0.000789727658900015,,12365,,0,1,0
0.000785985059693212,,0.000785985059693212,,12366,,0,1,0
0.000779773425397541,,0.000779773425397541,,12367,,0,1,0
0.00077113237692495,,0.00077113237692495,,12368,,0,1,0
0.000760116233346771,,0.000760116233346771,,12369,,0,1,0
0.000746795294705345,,0.000746795294705345,,12370,,0,1,0
0.000731252819080624,,0.000731252819080624,,12371,,0,1,0
0.000713587845900539,,0.000713587845900539,,12372,,0,1,0
0.00069391020722856,,0.00069391020722856,,12373,,0,1,0
0.000672348797980948,,0.000672348797980948,,12374,,0,1,0
0.000649034348217087,,0.000649034348217087,,12375,,0,1,0
0.000624117919438068,,0.000624117919438068,,12376,,0,1,0
0.000597756157417535,,0.000597756157417535,,12377,,0,1,0
0.00057011595727488,,0.00057011595727488,,12378,,0,1,0
0.000541371513057727,,0.000541371513057727,,12379,,0,1,0
0.000511703141339415,,0.000511703141339415,,12380,,0,1,0
0.000481302008598646,,0.000481302008598646,,12381,,0,1,0
0.000450356448964935,,0.000450356448964935,,12382,,0,1,0
0.000419066300076071,,0.000419066300076071,,12383,,0,1,0
0.000387626344085408,,0.000387626344085408,,12384,,0,1,0
0.000356235688689949,,0.000356235688689949,,12385,,0,1,0
0.000325092880356898,,0.000325092880356898,,12386,,0,1,0
0.00029439512697753,,0.00029439512697753,,12387,,0,1,0
0.000264337188063575,,0.000264337188063575,,12388,,0,1,0
0.000235108758360693,,0.000235108758360693,,12389,,0,1,0
0.000206892795067699,,0.000206892795067699,,12390,,0,1,0
0.000179869920211684,,0.000179869920211684,,12391,,0,1,0
0.000154211465457023,,0.000154211465457023,,12392,,0,1,0
0.000130077249346815,,0.000130077249346815,,12393,,0,1,0
0.000107620851665297,,0.000107620851665297,,12394,,0,1,0
8.69846760872053e-05,,8.69846760872053e-05,,12395,,0,1,0
6.82995512281126e-05,,6.82995512281126e-05,,12396,,0,1,0
5.16824567360352e-05,,5.16824567360352e-05,,12397,,0,1,0
3.7239021124708e-05,,3.7239021124708e-05,,12398,,0,1,0
2.50608222533752e-05,,2.50608222533752e-05,,12399,,0,1,0
1.52243835712915e-05,,1.52243835712915e-05,,12400,,0,1,0
7.79201838160999e-06,,7.79201838160999e-06,,12401,,0,1,0
2.81120944939546e-06,,2.81120944939546e-06,,12402,,0,1,0
3.12657024352806e-07,,3.12657024352806e-07,,12403,,0,1,0
3.12657024352806e-07,,3.12657024352806e-07,,12404,,0,1,0
2.81120944939546e-06,,2.81120944939546e-06,,12405,,0,1,0
7.79201838160999e-06,,7.79201838160999e-06,,12406,,0,1,0
1.52243835712915e-05,,1.52243835712915e-05,,12407,,0,1,0
2.50608222533752e-05,,2.50608222533752e-05,,12408,,0,1,0
3.7239021124708e-05,,3.7239021124708e-05,,12409,,0,1,0
5.16824567360352e-05,,5.16824567360352e-05,,12410,,0,1,0
6.82995512281126e-05,,6.82995512281126e-05,,12411,,0,1,0
8.69846760872053e-05,,8.69846760872053e-05,,12412,,0,1,0
0.000107620851665297,,0.000107620851665297,,12413,,0,1,0
0.000130077249346815,,0.000130077249346815,,12414,,0,1,0
0.000154211465457023,,0.000154211465457023,,12415,,0,1,0
0.000179869920211684,,0.000179869920211684,,12416,,0,1,0
0.000206892795067699,,0.000206892795067699,,12417,,0,1,0
0.000235108758360693,,0.000235108758360693,,12418,,0,1,0
0.000264337188063575,,0.000264337188063575,,12419,,0,1,0
0.00029439512697753,,0.00029439512697753,,12420,,0,1,0
0.000325092880356898,,0.000325092880356898,,12421,,0,1,0
0.000356235688689949,,0.000356235688689949,,12422,,0,1,0
0.000387626344085408,,0.000387626344085408,,12423,,0,1,0
0.000419066300076071,,0.000419066300076071,,12424,,0,1,0
0.000450356448964935,,0.000450356448964935,,12425,,0,1,0
0.000481302008598646,,0.000481302008598646,,12426,,0,1,0
0.000511703141339415,,0.000511703141339415,,12427,,0,1,0
0.000541371513057727,,0.000541371513057727,,12428,,0,1,0
0.00057011595727488,,0.00057011595727488,,12429,,0,1,0
0.000597756157417535,,0.000597756157417535,,12430,,0,1,0
0.000624117919438068,,0.000624117919438068,,12431,,0,1,0
0.000649034348217087,,0.000649034348217087,,12432,,0,1,0
0.000672348797980948,,0.000672348797980948,,12433,,0,1,0
0.00069391020722856,,0.00069391020722856,,12434,,0,1,0
0.000713587845900539,,0.000713587845900539,,12435,,0,1,0
0.000731252819080624,,0.000731252819080624,,12436,,0,1,0
0.000746795294705345,,0.000746795294705345,,12437,,0,1,0
0.000760116233346771,,0.000760116233346771,,12438,,0,1,0
0.00077113237692495,,0.00077113237692495,,12439,,0,1,0
0.000779773425397541,,0.000779773425397541,,12440,,0,1,0
0.000785985059693212,,0.000785985059693212,,12441,,0,1,0
0.000789727658900015,,0.000789727658900015,,12442,,0,1,0
0.000790978451512103,,0.000790978451512103,,12443,,0,1,0
